OA11CD,LSOA11CD,supgrpcode,supgrpname,Total_Population
E00069534,E01013781,3,Ethnicity Central,235
E00069532,E01013780,4,Multicultural Metropolitans,216
E00169534,E01032873,3,Ethnicity Central,184
E00069531,E01013786,5,Urbanites,336
E00069539,E01013780,5,Urbanites,256
E00169446,E01013646,2,Cosmopolitans,586
E00069440,E01013757,4,Multicultural Metropolitans,400
E00069441,E01013757,4,Multicultural Metropolitans,454
E00069448,E01013768,8,Hard-Pressed Living,386
E00069449,E01013773,8,Hard-Pressed Living,276
E00068736,E01013612,5,Urbanites,266
E00068737,E01013613,5,Urbanites,236
E00068735,E01013613,4,Multicultural Metropolitans,237
E00068732,E01013611,6,Suburbanites,368
E00068731,E01013611,6,Suburbanites,342
E00068739,E01013623,4,Multicultural Metropolitans,346
E00069166,E01013704,6,Suburbanites,329
E00069167,E01013704,5,Urbanites,335
E00069164,E01013712,4,Multicultural Metropolitans,521
E00069162,E01013711,4,Multicultural Metropolitans,356
E00069163,E01013712,5,Urbanites,285
E00069168,E01013703,6,Suburbanites,347
E00068926,E01013656,4,Multicultural Metropolitans,421
E00069169,E01013706,6,Suburbanites,392
E00068927,E01013657,4,Multicultural Metropolitans,449
E00068928,E01013657,4,Multicultural Metropolitans,449
E00068920,E01013657,4,Multicultural Metropolitans,468
E00068923,E01013657,4,Multicultural Metropolitans,453
E00068921,E01013652,4,Multicultural Metropolitans,448
E00168102,E01013676,5,Urbanites,264
E00168104,E01013762,4,Multicultural Metropolitans,391
E00068877,E01013650,2,Cosmopolitans,277
E00169513,E01013681,4,Multicultural Metropolitans,245
E00068875,E01013650,2,Cosmopolitans,350
E00068873,E01013642,2,Cosmopolitans,352
E00068878,E01013643,2,Cosmopolitans,313
E00068879,E01013642,2,Cosmopolitans,351
E00069007,E01013669,4,Multicultural Metropolitans,324
E00069086,E01013684,4,Multicultural Metropolitans,313
E00069082,E01013682,4,Multicultural Metropolitans,250
E00069003,E01013669,4,Multicultural Metropolitans,369
E00069081,E01013682,4,Multicultural Metropolitans,194
E00069000,E01013668,3,Ethnicity Central,192
E00069080,E01013682,4,Multicultural Metropolitans,243
E00069001,E01013668,4,Multicultural Metropolitans,320
E00069008,E01013669,6,Suburbanites,345
E00069088,E01013684,4,Multicultural Metropolitans,300
E00069009,E01013670,6,Suburbanites,287
E00069350,E01013746,4,Multicultural Metropolitans,343
E00069355,E01013743,4,Multicultural Metropolitans,495
E00069352,E01013743,4,Multicultural Metropolitans,406
E00069353,E01013742,4,Multicultural Metropolitans,548
E00069351,E01013742,4,Multicultural Metropolitans,373
E00069359,E01013744,4,Multicultural Metropolitans,394
E00069260,E01013730,7,Constrained City Dwellers,251
E00069266,E01013728,8,Hard-Pressed Living,254
E00069267,E01013727,7,Constrained City Dwellers,164
E00069264,E01013729,5,Urbanites,387
E00069263,E01013729,6,Suburbanites,297
E00069265,E01013727,8,Hard-Pressed Living,305
E00069269,E01013730,7,Constrained City Dwellers,179
E00069506,E01013779,4,Multicultural Metropolitans,333
E00169502,E01013607,2,Cosmopolitans,212
E00069507,E01013774,4,Multicultural Metropolitans,354
E00169500,E01032867,2,Cosmopolitans,198
E00069505,E01013778,4,Multicultural Metropolitans,321
E00069502,E01013777,4,Multicultural Metropolitans,249
E00169506,E01013755,3,Ethnicity Central,521
E00069503,E01013778,3,Ethnicity Central,225
E00069501,E01013777,4,Multicultural Metropolitans,190
E00169508,E01013684,4,Multicultural Metropolitans,420
E00169509,E01013683,4,Multicultural Metropolitans,273
E00069508,E01013779,4,Multicultural Metropolitans,314
E00069509,E01013779,2,Cosmopolitans,257
E00169453,E01032867,3,Ethnicity Central,223
E00069457,E01032597,8,Hard-Pressed Living,294
E00169450,E01013697,4,Multicultural Metropolitans,321
E00069454,E01013768,4,Multicultural Metropolitans,405
E00069453,E01013767,4,Multicultural Metropolitans,320
E00169457,E01032868,2,Cosmopolitans,202
E00069451,E01013767,4,Multicultural Metropolitans,320
E00169458,E01032867,2,Cosmopolitans,622
E00069458,E01032597,4,Multicultural Metropolitans,390
E00068706,E01013611,4,Multicultural Metropolitans,340
E00068787,E01013627,4,Multicultural Metropolitans,417
E00068705,E01013608,5,Urbanites,337
E00068784,E01013630,4,Multicultural Metropolitans,450
E00068702,E01013613,8,Hard-Pressed Living,248
E00068703,E01013609,7,Constrained City Dwellers,259
E00068783,E01013621,4,Multicultural Metropolitans,313
E00068782,E01013622,3,Ethnicity Central,337
E00068701,E01013614,5,Urbanites,316
E00068780,E01013623,4,Multicultural Metropolitans,324
E00068708,E01013613,4,Multicultural Metropolitans,301
E00068789,E01013624,4,Multicultural Metropolitans,335
E00068939,E01013653,4,Multicultural Metropolitans,342
E00069172,E01013707,6,Suburbanites,288
E00068937,E01013653,4,Multicultural Metropolitans,387
E00168110,E01013659,4,Multicultural Metropolitans,343
E00069178,E01013710,2,Cosmopolitans,191
E00068936,E01013654,4,Multicultural Metropolitans,465
E00068930,E01013652,4,Multicultural Metropolitans,490
E00068931,E01013651,4,Multicultural Metropolitans,362
E00068938,E01013653,4,Multicultural Metropolitans,363
E00068842,E01013634,8,Hard-Pressed Living,241
E00068843,E01013636,4,Multicultural Metropolitans,331
E00068840,E01013634,4,Multicultural Metropolitans,283
E00068848,E01013637,7,Constrained City Dwellers,254
E00069016,E01013673,8,Hard-Pressed Living,297
E00069097,E01013687,4,Multicultural Metropolitans,297
E00069096,E01013688,4,Multicultural Metropolitans,281
E00069017,E01013678,8,Hard-Pressed Living,305
E00069015,E01013666,6,Suburbanites,330
E00069094,E01013687,4,Multicultural Metropolitans,338
E00069099,E01013691,7,Constrained City Dwellers,325
E00069018,E01013678,8,Hard-Pressed Living,354
E00069098,E01013690,4,Multicultural Metropolitans,321
E00069019,E01013673,8,Hard-Pressed Living,304
E00069324,E01013739,4,Multicultural Metropolitans,272
E00069326,E01013736,5,Urbanites,388
E00069327,E01013737,4,Multicultural Metropolitans,276
E00069325,E01013733,5,Urbanites,396
E00069322,E01013735,4,Multicultural Metropolitans,277
E00069323,E01013737,4,Multicultural Metropolitans,278
E00069320,E01013737,4,Multicultural Metropolitans,277
E00069321,E01013733,5,Urbanites,343
E00069328,E01013738,4,Multicultural Metropolitans,406
E00069277,E01013722,8,Hard-Pressed Living,313
E00069274,E01013730,7,Constrained City Dwellers,261
E00069275,E01013731,4,Multicultural Metropolitans,274
E00069272,E01013729,5,Urbanites,306
E00069273,E01013731,4,Multicultural Metropolitans,261
E00069271,E01013731,4,Multicultural Metropolitans,359
E00069278,E01013722,8,Hard-Pressed Living,320
E00069279,E01013721,4,Multicultural Metropolitans,329
E00069516,E01013780,5,Urbanites,377
E00169511,E01013681,4,Multicultural Metropolitans,216
E00069515,E01013785,6,Suburbanites,270
E00069512,E01013774,2,Cosmopolitans,421
E00069513,E01013782,2,Cosmopolitans,280
E00169517,E01013713,4,Multicultural Metropolitans,174
E00069511,E01013779,4,Multicultural Metropolitans,342
E00069510,E01013774,4,Multicultural Metropolitans,357
E00169514,E01013716,4,Multicultural Metropolitans,385
E00169519,E01013681,4,Multicultural Metropolitans,212
E00069518,E01013781,4,Multicultural Metropolitans,263
E00069519,E01013786,4,Multicultural Metropolitans,330
E00169565,E01013730,7,Constrained City Dwellers,175
E00069149,E01013697,2,Cosmopolitans,131
E00069426,E01013763,3,Ethnicity Central,501
E00069427,E01013764,4,Multicultural Metropolitans,380
E00069425,E01013764,4,Multicultural Metropolitans,470
E00069422,E01013762,4,Multicultural Metropolitans,481
E00069423,E01013758,4,Multicultural Metropolitans,372
E00069420,E01013762,4,Multicultural Metropolitans,396
E00069428,E01013764,4,Multicultural Metropolitans,371
E00168083,E01013649,2,Cosmopolitans,230
E00068716,E01013614,4,Multicultural Metropolitans,336
E00068797,E01013630,4,Multicultural Metropolitans,435
E00068717,E01013609,8,Hard-Pressed Living,229
E00068796,E01013629,4,Multicultural Metropolitans,372
E00068715,E01013614,5,Urbanites,271
E00068793,E01013625,4,Multicultural Metropolitans,488
E00068794,E01013628,4,Multicultural Metropolitans,335
E00068712,E01013612,5,Urbanites,284
E00068710,E01013612,5,Urbanites,387
E00068791,E01013629,4,Multicultural Metropolitans,583
E00068711,E01013614,5,Urbanites,313
E00068790,E01013627,4,Multicultural Metropolitans,483
E00169062,E01032865,4,Multicultural Metropolitans,317
E00169063,E01013696,4,Multicultural Metropolitans,387
E00069147,E01013694,4,Multicultural Metropolitans,270
E00069144,E01013695,8,Hard-Pressed Living,362
E00069145,E01013695,4,Multicultural Metropolitans,327
E00069142,E01013694,4,Multicultural Metropolitans,417
E00069143,E01013694,4,Multicultural Metropolitans,390
E00069140,E01032865,4,Multicultural Metropolitans,325
E00069141,E01013696,4,Multicultural Metropolitans,302
E00069148,E01013694,4,Multicultural Metropolitans,257
E00068987,E01013667,4,Multicultural Metropolitans,374
E00068904,E01013646,3,Ethnicity Central,433
E00068986,E01013671,4,Multicultural Metropolitans,399
E00068988,E01013667,4,Multicultural Metropolitans,232
E00068985,E01013670,6,Suburbanites,389
E00068903,E01032873,3,Ethnicity Central,293
E00068984,E01013668,4,Multicultural Metropolitans,329
E00068905,E01032873,2,Cosmopolitans,391
E00068983,E01013661,3,Ethnicity Central,348
E00068982,E01013664,4,Multicultural Metropolitans,232
E00068981,E01013664,4,Multicultural Metropolitans,380
E00068909,E01013646,3,Ethnicity Central,295
E00069232,E01013716,4,Multicultural Metropolitans,343
E00068856,E01013637,8,Hard-Pressed Living,454
E00068852,E01013637,4,Multicultural Metropolitans,323
E00068853,E01013640,4,Multicultural Metropolitans,356
E00068851,E01013638,8,Hard-Pressed Living,300
E00069336,E01013741,4,Multicultural Metropolitans,293
E00068858,E01013637,8,Hard-Pressed Living,353
E00069337,E01013738,4,Multicultural Metropolitans,366
E00069334,E01013734,4,Multicultural Metropolitans,363
E00069335,E01013740,4,Multicultural Metropolitans,334
E00069332,E01013739,4,Multicultural Metropolitans,132
E00069330,E01013740,4,Multicultural Metropolitans,365
E00069245,E01013719,4,Multicultural Metropolitans,415
E00069247,E01013721,4,Multicultural Metropolitans,284
E00069242,E01013719,4,Multicultural Metropolitans,309
E00069243,E01013717,4,Multicultural Metropolitans,225
E00069240,E01013713,4,Multicultural Metropolitans,205
E00069241,E01013714,4,Multicultural Metropolitans,246
E00069248,E01032602,4,Multicultural Metropolitans,344
E00069249,E01032602,8,Hard-Pressed Living,404
E00169548,E01013617,4,Multicultural Metropolitans,168
E00069436,E01013756,4,Multicultural Metropolitans,428
E00069435,E01013759,4,Multicultural Metropolitans,422
E00069433,E01013766,4,Multicultural Metropolitans,485
E00069439,E01013759,4,Multicultural Metropolitans,586
E00069156,E01013699,6,Suburbanites,397
E00069157,E01013699,4,Multicultural Metropolitans,273
E00069154,E01013700,8,Hard-Pressed Living,178
E00069155,E01013699,4,Multicultural Metropolitans,337
E00069152,E01013698,4,Multicultural Metropolitans,314
E00069150,E01013700,4,Multicultural Metropolitans,358
E00069151,E01013698,8,Hard-Pressed Living,309
E00069158,E01013700,5,Urbanites,352
E00068916,E01013655,4,Multicultural Metropolitans,483
E00068997,E01013672,4,Multicultural Metropolitans,341
E00069159,E01013698,5,Urbanites,294
E00068914,E01013651,4,Multicultural Metropolitans,313
E00068995,E01013666,6,Suburbanites,318
E00068912,E01013648,4,Multicultural Metropolitans,339
E00068993,E01013666,6,Suburbanites,293
E00068992,E01013668,4,Multicultural Metropolitans,377
E00068910,E01013647,3,Ethnicity Central,289
E00068991,E01013666,4,Multicultural Metropolitans,331
E00068918,E01013656,4,Multicultural Metropolitans,472
E00068999,E01013667,4,Multicultural Metropolitans,267
E00068998,E01013672,4,Multicultural Metropolitans,301
E00068919,E01013656,4,Multicultural Metropolitans,518
E00069066,E01013685,6,Suburbanites,278
E00069067,E01013686,5,Urbanites,225
E00169060,E01013697,5,Urbanites,266
E00069064,E01013685,6,Suburbanites,360
E00069063,E01013685,5,Urbanites,264
E00069060,E01013683,4,Multicultural Metropolitans,346
E00069061,E01013683,4,Multicultural Metropolitans,291
E00169065,E01013696,4,Multicultural Metropolitans,327
E00068825,E01013633,8,Hard-Pressed Living,341
E00069068,E01013686,6,Suburbanites,276
E00069069,E01013686,5,Urbanites,432
E00068824,E01013633,8,Hard-Pressed Living,391
E00068822,E01013639,8,Hard-Pressed Living,356
E00068821,E01013632,8,Hard-Pressed Living,342
E00168087,E01013775,2,Cosmopolitans,258
E00168085,E01013775,2,Cosmopolitans,292
E00068828,E01013632,8,Hard-Pressed Living,454
E00068829,E01013632,7,Constrained City Dwellers,394
E00168088,E01013775,4,Multicultural Metropolitans,351
E00069306,E01013733,5,Urbanites,388
E00069387,E01013749,4,Multicultural Metropolitans,327
E00069304,E01013734,4,Multicultural Metropolitans,608
E00069385,E01013749,4,Multicultural Metropolitans,455
E00069384,E01013753,3,Ethnicity Central,277
E00069305,E01013739,4,Multicultural Metropolitans,510
E00069302,E01013736,4,Multicultural Metropolitans,398
E00069383,E01013748,4,Multicultural Metropolitans,566
E00069300,E01013735,4,Multicultural Metropolitans,480
E00069381,E01013749,4,Multicultural Metropolitans,526
E00069301,E01013736,5,Urbanites,383
E00069380,E01013749,4,Multicultural Metropolitans,308
E00069308,E01013733,4,Multicultural Metropolitans,498
E00069389,E01013750,4,Multicultural Metropolitans,400
E00169569,E01013623,4,Multicultural Metropolitans,398
E00069257,E01013726,4,Multicultural Metropolitans,368
E00069254,E01013727,8,Hard-Pressed Living,333
E00069255,E01013728,8,Hard-Pressed Living,426
E00069251,E01013721,4,Multicultural Metropolitans,383
E00069258,E01013727,4,Multicultural Metropolitans,311
E00068967,E01013665,4,Multicultural Metropolitans,292
E00169562,E01032865,4,Multicultural Metropolitans,362
E00169561,E01032862,4,Multicultural Metropolitans,360
E00169567,E01032868,2,Cosmopolitans,573
E00169564,E01013647,2,Cosmopolitans,591
E00069485,E01013777,4,Multicultural Metropolitans,316
E00069403,E01013760,3,Ethnicity Central,400
E00069486,E01013777,4,Multicultural Metropolitans,263
E00069407,E01013760,3,Ethnicity Central,504
E00069404,E01013763,4,Multicultural Metropolitans,446
E00169480,E01032868,2,Cosmopolitans,223
E00069402,E01013761,4,Multicultural Metropolitans,382
E00069483,E01013776,4,Multicultural Metropolitans,401
E00169486,E01032872,2,Cosmopolitans,150
E00069482,E01013778,4,Multicultural Metropolitans,590
E00169485,E01013755,3,Ethnicity Central,226
E00069401,E01013761,4,Multicultural Metropolitans,478
E00069480,E01013772,4,Multicultural Metropolitans,336
E00069409,E01013763,3,Ethnicity Central,302
E00068767,E01013620,4,Multicultural Metropolitans,378
E00068764,E01013619,4,Multicultural Metropolitans,392
E00068762,E01013618,4,Multicultural Metropolitans,326
E00068761,E01013617,4,Multicultural Metropolitans,237
E00068763,E01013616,4,Multicultural Metropolitans,276
E00068760,E01013617,4,Multicultural Metropolitans,458
E00068769,E01013619,5,Urbanites,328
E00068685,E01013603,3,Ethnicity Central,225
E00068683,E01013604,4,Multicultural Metropolitans,322
E00068682,E01013604,4,Multicultural Metropolitans,399
E00068680,E01013604,8,Hard-Pressed Living,299
E00068689,E01013606,4,Multicultural Metropolitans,278
E00069126,E01013697,4,Multicultural Metropolitans,401
E00069127,E01013699,5,Urbanites,304
E00069124,E01013698,8,Hard-Pressed Living,292
E00069122,E01013689,4,Multicultural Metropolitans,294
E00069123,E01013690,4,Multicultural Metropolitans,329
E00069120,E01013687,4,Multicultural Metropolitans,278
E00069121,E01013689,4,Multicultural Metropolitans,296
E00069076,E01013681,4,Multicultural Metropolitans,313
E00069074,E01013685,5,Urbanites,341
E00069075,E01013680,4,Multicultural Metropolitans,313
E00069072,E01013686,4,Multicultural Metropolitans,571
E00068832,E01013635,4,Multicultural Metropolitans,263
E00069078,E01013682,4,Multicultural Metropolitans,294
E00068836,E01013634,8,Hard-Pressed Living,349
E00069079,E01013682,4,Multicultural Metropolitans,236
E00068830,E01013633,3,Ethnicity Central,260
E00068837,E01013634,4,Multicultural Metropolitans,357
E00168096,E01013689,2,Cosmopolitans,708
E00068835,E01013635,5,Urbanites,201
E00068833,E01013631,8,Hard-Pressed Living,345
E00068831,E01013631,8,Hard-Pressed Living,396
E00168093,E01013646,2,Cosmopolitans,301
E00168091,E01013778,2,Cosmopolitans,372
E00168090,E01013778,4,Multicultural Metropolitans,258
E00168097,E01013762,4,Multicultural Metropolitans,289
E00068838,E01013635,4,Multicultural Metropolitans,335
E00068839,E01013635,4,Multicultural Metropolitans,281
E00168099,E01013676,8,Hard-Pressed Living,167
E00069226,E01013718,4,Multicultural Metropolitans,360
E00069227,E01013719,4,Multicultural Metropolitans,403
E00069224,E01013717,4,Multicultural Metropolitans,225
E00069222,E01013718,4,Multicultural Metropolitans,407
E00069223,E01013719,4,Multicultural Metropolitans,435
E00069220,E01013717,4,Multicultural Metropolitans,493
E00069221,E01013718,4,Multicultural Metropolitans,451
E00069229,E01013720,4,Multicultural Metropolitans,390
E00069228,E01013720,4,Multicultural Metropolitans,252
E00169573,E01013697,4,Multicultural Metropolitans,386
E00169570,E01013697,4,Multicultural Metropolitans,415
E00169575,E01032875,2,Cosmopolitans,597
E00169572,E01032875,2,Cosmopolitans,241
E00069416,E01013766,4,Multicultural Metropolitans,438
E00069497,E01013775,2,Cosmopolitans,303
E00068777,E01013621,4,Multicultural Metropolitans,368
E00068775,E01013622,4,Multicultural Metropolitans,266
E00068772,E01013620,3,Ethnicity Central,315
E00068773,E01013620,4,Multicultural Metropolitans,462
E00068771,E01013622,4,Multicultural Metropolitans,381
E00068778,E01013621,4,Multicultural Metropolitans,366
E00068779,E01013622,4,Multicultural Metropolitans,303
E00068697,E01013600,8,Hard-Pressed Living,297
E00068696,E01013600,4,Multicultural Metropolitans,314
E00068695,E01013600,4,Multicultural Metropolitans,295
E00068694,E01013607,4,Multicultural Metropolitans,267
E00068693,E01013607,4,Multicultural Metropolitans,346
E00068692,E01013607,4,Multicultural Metropolitans,375
E00068698,E01013602,7,Constrained City Dwellers,290
E00068962,E01013665,3,Ethnicity Central,198
E00068964,E01013665,4,Multicultural Metropolitans,323
E00068965,E01013665,4,Multicultural Metropolitans,327
E00068968,E01013665,4,Multicultural Metropolitans,381
E00069137,E01032865,4,Multicultural Metropolitans,368
E00069134,E01013698,4,Multicultural Metropolitans,328
E00069135,E01013695,4,Multicultural Metropolitans,278
E00069133,E01013694,8,Hard-Pressed Living,313
E00069131,E01013700,6,Suburbanites,338
E00069138,E01032865,4,Multicultural Metropolitans,304
E00169043,E01013689,2,Cosmopolitans,234
E00069047,E01013675,7,Constrained City Dwellers,303
E00169040,E01013751,4,Multicultural Metropolitans,443
E00069044,E01013673,7,Constrained City Dwellers,250
E00169041,E01013660,4,Multicultural Metropolitans,177
E00069042,E01013678,8,Hard-Pressed Living,282
E00169046,E01032863,4,Multicultural Metropolitans,310
E00069043,E01013673,8,Hard-Pressed Living,329
E00069040,E01013678,7,Constrained City Dwellers,320
E00068800,E01013628,4,Multicultural Metropolitans,302
E00068889,E01013648,3,Ethnicity Central,281
E00068804,E01013625,4,Multicultural Metropolitans,245
E00069048,E01013675,8,Hard-Pressed Living,289
E00069049,E01013674,7,Constrained City Dwellers,186
E00068885,E01013648,2,Cosmopolitans,385
E00068884,E01013646,3,Ethnicity Central,332
E00068805,E01013626,4,Multicultural Metropolitans,487
E00068881,E01013643,2,Cosmopolitans,299
E00068808,E01013626,4,Multicultural Metropolitans,467
E00068809,E01013624,4,Multicultural Metropolitans,427
E00068888,E01013647,2,Cosmopolitans,414
E00069237,E01013713,4,Multicultural Metropolitans,198
E00069236,E01013715,4,Multicultural Metropolitans,328
E00069235,E01013720,7,Constrained City Dwellers,188
E00069233,E01013717,4,Multicultural Metropolitans,178
E00069239,E01013716,4,Multicultural Metropolitans,454
E00069544,E01013780,6,Suburbanites,347
E00169541,E01013617,4,Multicultural Metropolitans,407
E00069545,E01013783,6,Suburbanites,281
E00069543,E01013782,4,Multicultural Metropolitans,294
E00169547,E01013648,3,Ethnicity Central,516
E00169544,E01013617,4,Multicultural Metropolitans,407
E00169545,E01013648,4,Multicultural Metropolitans,232
E00068748,E01013615,6,Suburbanites,248
E00068970,E01013662,4,Multicultural Metropolitans,308
E00068747,E01013623,4,Multicultural Metropolitans,484
E00068745,E01013618,4,Multicultural Metropolitans,325
E00068743,E01013615,6,Suburbanites,308
E00068741,E01013623,4,Multicultural Metropolitans,286
E00068749,E01013615,5,Urbanites,286
E00068974,E01013662,4,Multicultural Metropolitans,290
E00068976,E01013664,3,Ethnicity Central,191
E00068975,E01013664,4,Multicultural Metropolitans,319
E00068973,E01013664,4,Multicultural Metropolitans,392
E00068971,E01013661,4,Multicultural Metropolitans,275
E00169057,E01013697,4,Multicultural Metropolitans,404
E00068978,E01013663,4,Multicultural Metropolitans,348
E00169054,E01013696,4,Multicultural Metropolitans,349
E00068979,E01013662,4,Multicultural Metropolitans,318
E00069106,E01013691,7,Constrained City Dwellers,316
E00069187,E01013706,5,Urbanites,251
E00069102,E01013691,4,Multicultural Metropolitans,338
E00069107,E01013692,8,Hard-Pressed Living,381
E00069186,E01013705,5,Urbanites,316
E00069104,E01013693,4,Multicultural Metropolitans,453
E00069185,E01013702,4,Multicultural Metropolitans,330
E00069105,E01013691,4,Multicultural Metropolitans,367
E00069184,E01013712,5,Urbanites,158
E00069183,E01013702,4,Multicultural Metropolitans,318
E00069182,E01013702,4,Multicultural Metropolitans,274
E00069103,E01013692,4,Multicultural Metropolitans,315
E00069100,E01013690,4,Multicultural Metropolitans,342
E00069181,E01013702,4,Multicultural Metropolitans,340
E00069101,E01013690,4,Multicultural Metropolitans,281
E00069180,E01013712,5,Urbanites,347
E00069108,E01013693,7,Constrained City Dwellers,300
E00069189,E01013703,5,Urbanites,302
E00069056,E01013682,4,Multicultural Metropolitans,297
E00169052,E01032863,4,Multicultural Metropolitans,256
E00069057,E01013683,4,Multicultural Metropolitans,384
E00169051,E01032862,4,Multicultural Metropolitans,272
E00069055,E01013681,4,Multicultural Metropolitans,443
E00069053,E01013680,4,Multicultural Metropolitans,367
E00069050,E01013675,8,Hard-Pressed Living,290
E00165824,E01032597,7,Constrained City Dwellers,248
E00069051,E01013674,8,Hard-Pressed Living,230
E00169058,E01013697,4,Multicultural Metropolitans,315
E00069058,E01013683,4,Multicultural Metropolitans,268
E00069059,E01013681,4,Multicultural Metropolitans,384
E00068896,E01013650,2,Cosmopolitans,286
E00068817,E01013633,8,Hard-Pressed Living,335
E00068815,E01013639,4,Multicultural Metropolitans,432
E00068894,E01013642,2,Cosmopolitans,300
E00068893,E01013649,2,Cosmopolitans,289
E00068812,E01013628,4,Multicultural Metropolitans,268
E00068892,E01013649,2,Cosmopolitans,297
E00068813,E01013636,6,Suburbanites,358
E00068899,E01013643,4,Multicultural Metropolitans,298
E00068811,E01013627,4,Multicultural Metropolitans,401
E00068818,E01013633,8,Hard-Pressed Living,323
E00068890,E01013649,2,Cosmopolitans,490
E00068898,E01013643,2,Cosmopolitans,362
E00068819,E01013631,8,Hard-Pressed Living,407
E00069367,E01013742,4,Multicultural Metropolitans,328
E00069364,E01013748,4,Multicultural Metropolitans,501
E00069365,E01013752,4,Multicultural Metropolitans,492
E00069362,E01013750,4,Multicultural Metropolitans,323
E00069363,E01013748,3,Ethnicity Central,463
E00069361,E01013750,4,Multicultural Metropolitans,366
E00069369,E01013746,3,Ethnicity Central,310
E00069286,E01032602,8,Hard-Pressed Living,261
E00069207,E01013710,2,Cosmopolitans,255
E00069283,E01013722,8,Hard-Pressed Living,328
E00069282,E01013721,4,Multicultural Metropolitans,258
E00069202,E01032599,4,Multicultural Metropolitans,324
E00069281,E01013723,8,Hard-Pressed Living,326
E00069200,E01013709,4,Multicultural Metropolitans,355
E00069280,E01013722,8,Hard-Pressed Living,306
E00069201,E01032599,4,Multicultural Metropolitans,342
E00069288,E01013721,8,Hard-Pressed Living,344
E00069209,E01013710,2,Cosmopolitans,307
